support,itemsets
0.481910274963821,frozenset([u'Microsoft.Network/virtualNetworks'])
0.479015918958032,frozenset([u'Microsoft.Network/publicIPAddresses'])
0.434153400868307,frozenset([u'Microsoft.Network/networkInterfaces'])
0.434153400868307,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks'])"
0.40520984081042,frozenset([u'Microsoft.Compute/virtualMachines'])
0.40520984081042,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.402315484804631,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])"
0.393632416787265,frozenset([u'Microsoft.Storage/storageAccounts'])
0.392185238784371,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines'])"
0.392185238784371,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.370477568740955,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks'])"
0.363241678726483,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])"
0.3589001447178,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.3589001447178,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.354558610709117,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
0.354558610709117,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.321273516642547,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Storage/storageAccounts'])"
0.312590448625181,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
0.312590448625181,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
0.305354558610709,"frozenset([u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.305354558610709,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
0.305354558610709,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.301013024602026,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.301013024602026,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
0.293777134587554,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
0.285094066570188,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
