antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset([u'Microsoft.Network/virtualNetworks']),frozenset([u'Microsoft.Network/publicIPAddresses']),0.481910274963821,0.479015918958032,0.434153400868307,0.900900900900901,1.88073269644267,0.203310707651194,5.25720299960532
frozenset([u'Microsoft.Network/publicIPAddresses']),frozenset([u'Microsoft.Network/virtualNetworks']),0.479015918958032,0.481910274963821,0.434153400868307,0.906344410876133,1.88073269644267,0.203310707651194,5.53186125764436
frozenset([u'Microsoft.Network/networkInterfaces']),frozenset([u'Microsoft.Compute/virtualMachines']),0.434153400868307,0.40520984081042,0.40520984081042,0.933333333333333,2.30333333333333,0.229286610357271,8.92185238784371
frozenset([u'Microsoft.Compute/virtualMachines']),frozenset([u'Microsoft.Network/networkInterfaces']),0.40520984081042,0.434153400868307,0.40520984081042,1,2.30333333333333,0.229286610357271,inf
frozenset([u'Microsoft.Network/publicIPAddresses']),frozenset([u'Microsoft.Network/networkInterfaces']),0.479015918958032,0.434153400868307,0.402315484804631,0.83987915407855,1.93452165156093,0.194349094518944,3.53387215684133
frozenset([u'Microsoft.Network/networkInterfaces']),frozenset([u'Microsoft.Network/publicIPAddresses']),0.434153400868307,0.479015918958032,0.402315484804631,0.926666666666667,1.93452165156093,0.194349094518944,7.10432837784503
frozenset([u'Microsoft.Network/publicIPAddresses']),"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])",0.479015918958032,0.40520984081042,0.392185238784371,0.818731117824773,2.02051143720328,0.19808327451773,3.28125904486252
frozenset([u'Microsoft.Network/publicIPAddresses']),frozenset([u'Microsoft.Compute/virtualMachines']),0.479015918958032,0.40520984081042,0.392185238784371,0.818731117824773,2.02051143720328,0.19808327451773,3.28125904486252
frozenset([u'Microsoft.Network/networkInterfaces']),"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines'])",0.434153400868307,0.392185238784371,0.392185238784371,0.903333333333333,2.30333333333333,0.221916683595787,6.28773890912721
"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])",frozenset([u'Microsoft.Network/publicIPAddresses']),0.40520984081042,0.479015918958032,0.392185238784371,0.967857142857143,2.02051143720328,0.19808327451773,16.2083936324168
frozenset([u'Microsoft.Compute/virtualMachines']),"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])",0.40520984081042,0.402315484804631,0.392185238784371,0.967857142857143,2.40571685508736,0.229163045231119,18.5946293616338
frozenset([u'Microsoft.Compute/virtualMachines']),frozenset([u'Microsoft.Network/publicIPAddresses']),0.40520984081042,0.479015918958032,0.392185238784371,0.967857142857143,2.02051143720328,0.19808327451773,16.2083936324168
"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])",frozenset([u'Microsoft.Compute/virtualMachines']),0.402315484804631,0.40520984081042,0.392185238784371,0.974820143884892,2.40571685508736,0.229163045231119,23.6216663221005
"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines'])",frozenset([u'Microsoft.Network/networkInterfaces']),0.392185238784371,0.434153400868307,0.392185238784371,1,2.30333333333333,0.221916683595787,inf
frozenset([u'Microsoft.Network/virtualNetworks']),frozenset([u'Microsoft.Network/networkInterfaces']),0.481910274963821,0.434153400868307,0.370477568740955,0.768768768768769,1.77073073073073,0.161254583952032,2.44710282481628
frozenset([u'Microsoft.Network/networkInterfaces']),frozenset([u'Microsoft.Network/virtualNetworks']),0.434153400868307,0.481910274963821,0.370477568740955,0.853333333333333,1.77073073073073,0.161254583952032,3.53242994342849
